,brown,grey,black,white,pink,red,yellow,orange,blue,green,purple,turquoise
brown,47.83783783783784,17.83783783783784,10.405405405405405,11.621621621621623,0.6756756756756757,4.324324324324325,0.13513513513513514,2.7027027027027026,1.0810810810810811,0.40540540540540543,1.3513513513513513,1.6216216216216217
grey,22.027027027027028,49.32432432432432,13.108108108108107,6.756756756756757,0.8108108108108109,1.3513513513513513,0.0,2.2972972972972974,2.5675675675675675,0.13513513513513514,0.945945945945946,0.6756756756756757
black,15.54054054054054,28.91891891891892,34.72972972972973,6.081081081081082,1.2162162162162162,7.7027027027027035,0.13513513513513514,2.5675675675675675,2.1621621621621623,0.5405405405405406,0.2702702702702703,0.13513513513513514
white,13.630229419703104,6.0728744939271255,2.1592442645074224,49.797570850202426,7.152496626180836,0.9446693657219973,0.4048582995951417,7.017543859649122,3.508771929824561,1.6194331983805668,1.8893387314439947,5.802968960863698
pink,10.135135135135135,3.1081081081081083,1.3513513513513513,13.108108108108107,36.08108108108108,2.9729729729729732,0.5405405405405406,21.08108108108108,0.8108108108108109,2.837837837837838,1.0810810810810811,6.891891891891892
red,8.254397834912043,1.7591339648173208,5.953991880920163,5.548037889039242,14.614343707713125,43.978349120433016,0.5412719891745602,14.884979702300406,0.2706359945872801,1.4884979702300407,0.40595399188092013,2.3004059539918806
yellow,13.630229419703104,6.747638326585695,3.508771929824561,10.6612685560054,32.11875843454791,6.477732793522267,0.9446693657219973,17.00404858299595,0.9446693657219973,1.6194331983805668,1.349527665317139,4.993252361673414
orange,14.054054054054054,3.783783783783784,1.6216216216216217,12.837837837837837,31.756756756756754,5.405405405405405,0.6756756756756757,21.35135135135135,0.40540540540540543,1.6216216216216217,0.8108108108108109,5.675675675675676
blue,10.27027027027027,14.72972972972973,1.7567567567567568,36.891891891891895,10.81081081081081,1.2162162162162162,0.13513513513513514,9.18918918918919,5.9459459459459465,2.4324324324324325,0.8108108108108109,5.810810810810811
green,13.648648648648647,2.5675675675675675,3.3783783783783785,28.783783783783782,18.37837837837838,5.27027027027027,0.0,12.027027027027028,0.945945945945946,3.783783783783784,1.4864864864864866,9.72972972972973
purple,18.91891891891892,15.135135135135137,5.27027027027027,21.891891891891895,11.216216216216218,3.783783783783784,0.2702702702702703,11.621621621621623,4.1891891891891895,1.7567567567567568,1.4864864864864866,4.45945945945946
turquoise,11.637347767253045,4.600811907983761,0.6765899864682002,29.63464140730717,22.868741542625166,1.0825439783491204,0.13531799729364005,15.155615696887686,2.029769959404601,2.841677943166441,1.0825439783491204,8.254397834912043
